date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:38	2070/2070	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634fdc2c-816%22	https://elementor.com/marketing/wp-content/themes/elementor-website/assets/js/app.min.js?ver=1.1.5	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/themes/elementor-website/assets/js/app.mind279.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:38	1687/1687	---MCZ	200	added ('OK')	application/javascript	etag:W/%226267abf0-697%22	https://elementor.com/marketing/wp-content/themes/elementor-website/assets/js/js.cookie.min.js?ver=1.1.5	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/themes/elementor-website/assets/js/js.cookie.mind279.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:38	5629/5629	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Jan%202021%2013:59:14%20GMT	https://elementor.com/pages/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/pages/wp-includes/js/imagesloaded.mineda1.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:38	5234/5234	---MCZ	200	added ('OK')	application/javascript	etag:W/%22637b3c68-1472%22	https://elementor.com/marketing/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.8.2	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min3fd0.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:39	4957/4957	---MCZ	200	added ('OK')	application/javascript	etag:W/%226370f797-135d%22	https://elementor.com/marketing/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.8.1	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/plugins/elementor/assets/js/webpack.runtime.min7e2e.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:39	32947/32947	---MCZ	200	added ('OK')	application/javascript	etag:W/%226370f797-80b3%22	https://elementor.com/marketing/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.8.1	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/plugins/elementor/assets/js/frontend-modules.min7e2e.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:39	6406/6406	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Jan%202022%2009:18:44%20GMT	https://elementor.com/pages/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.7	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/pages/wp-includes/js/dist/vendor/regenerator-runtime.minb36a.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:39	16470/16470	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Jan%202022%2009:18:44%20GMT	https://elementor.com/pages/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/pages/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:39	5440/5440	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Jan%202022%2009:18:44%20GMT	https://elementor.com/pages/wp-includes/js/dist/hooks.min.js?ver=a7edae857aab69d69fa10d5aef23a5de	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/pages/wp-includes/js/dist/hooks.mine16b.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:40	9866/9866	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Jan%202022%2009:18:44%20GMT	https://elementor.com/pages/wp-includes/js/dist/i18n.min.js?ver=5f1269854226b4dd90450db411a12b79	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/pages/wp-includes/js/dist/i18n.min71a7.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:40	21563/21563	---MCZ	200	added ('OK')	application/javascript	etag:W/%22637b3c68-543b%22	https://elementor.com/marketing/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.8.2	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/plugins/elementor-pro/assets/js/frontend.min3fd0.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
